tx,minter,tokenId,tokenUri
0xeecb0ba67b3753b965a095a5561a3a27f2bdebfed917e4699d736120f8cd0225,0x17c57bD297175e5711Ee3Daf045252B588f3162F,0,ipfs://QmR5Prf7Fy1zijPWSjYcgzyK1qucPdnPqNexMyCmnzkzCB
0x90930fb05429f7a4a3cac24bcd50dc0ce5a1b77c96f99273a8868e9dd33f0738,0x86DBe1f56dC3053b26522de1B38289E39AFCF884,1,ipfs://QmewkWGvoRuW9UnXTLyDfdaSKniCevKWcuNZkFX1xLF3Xw
0x68b1577e1e65595b1928ba4eee22a51f790e471db454ff4773fd0433a31c47c1,0xdDADa4a79D99d15b5dAA5b515Cc2fD7dcdde7559,2,ipfs://QmcJ1zmUrXc8WqG1YMYvfetT4DvXvDiNN5CvRUtuA7NA1U
0xe7aeeb6c09134c4f4fcf19e083dc20ddecf8f8ac1375092c964458234bbc77fc,0xF95555A29E58188147D3A3AcD6e2Ffeb04EA7dd5,3,ipfs://QmadjC6WL9wJRg9zh9a98USz9BfDMTCCwzjDPifDVzxdjB
0x6b54f66a6d5838d81ca2ab1309d7dbd037f75073ba3897d7f3c0e30dfd05f3e9,0xdB280Ba07537aEBBceBC90A95f68CB9CcC3c931E,4,ipfs://QmZrcGFQk7p8VYzGEBezRhj7YD56cnkYc3UhnLJzC7Ay7d
0xef1acea6451878f569febbad50b9365710f9d042316d81b5dce9ea4726f72785,0x3876FA6B277D1f0a684Ed7f094A3c3a72Af94ead,5,ipfs://Qma7ZVvgzxLEmgnagf9fotzBS2W7F65u8v94if9fdfktce
0x0092d1dfb053a303f1a27d87bed006b97e85c741ba49351abb50f994bc308b89,0xC841D6DdF66467Af551b35218c0c2e22f9C14b48,6,ipfs://QmQV6eJAfzdJ6W5NVqwfhRe9EcbXj2cY1jQgKpzQVsqfsi
0x7182722f33f57e262946c7abf394b84e2126f88f3d29eaa4e9d4acb61dd5297d,0xF7129631fad9C3a52a55EB6Ef96646C84e2161C4,7,ipfs://QmQN2e8DVNe5iJ8MktXAHkwuJ1j8KUR8NZ1La7FrjY7neS
0x9fdd3e271345461fd1323015c61dbd6df92d929fcf70f8e3fd329e189f7803e9,0x97B7F8fDB22d5BAb6C0AcF3Cd319eC18da8063c3,8,ipfs://QmdMXGGHhUj3b7FLDnsmJnesudcVCE2mKN2xuotPrZpHrB
0x3357f21478751e841436d9111218bdbac4cec17ad38e105c28345d173493b91c,0x7B99de207f3F043541259f873C161120981D64E8,9,ipfs://QmTDH2EWaJhxj9BgR1MYMcXDmYTQfye8SHKLiJx2Se8udN
